gene,rank,cancer_type,expression
TOX,5,Lung Adenocarcinoma (validation),6.374525714285714
TOX,6,Breast Invasive Carcinoma (validation),5.885538
TOX,7,Stomach Adenocarcinoma (TCGA),5.519353179190752
TOX,8,Lung Adenocarcinoma (TCGA),5.114908048289738
TOX,9,Testicular Germ Cell Tumor (TCGA),4.484428571428571
TOX,10,Pancreatic Adenocarcinoma (TCGA),4.26582159090909
TOX,11,Lung Squamous Cell Carcinoma (validation),4.191545588235294
TOX,12,Ovary Serous Cystadenocarcinoma (TCGA),3.917959885386819
TOX,13,Kidney Renal Clear Cell Carcinoma (validation),3.774914
TOX,14,Colon Adenocarcinoma (TCGA),3.6127807086614174
TOX,15,Pancreatic Adenocarcinoma (validation),3.5385712499999995
TOX,16,Rectum Adenocarcinoma (TCGA),3.2503863636363635
TOX,17,Uterine Corpus Endometrial Carcinoma (TCGA),3.226256818181818
TOX,18,Kidney Renal Clear Cell Carcinoma (TCGA),2.8824328214971207
TOX,19,Lung Squamous Cell Carcinoma (TCGA),2.737443762781186
TOX,20,Ovary Serous Cystadenocarcinoma (validation),2.2324234567901233
TOX,21,Bladder Urothelial Carcinoma (TCGA),2.0000136094674557
TOX,22,Head and Neck Squamous Cell Carcinoma (TCGA),1.8881371951219512
TOX,23,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),1.7774289752650176
TOX,24,Prostate Adenocarcinoma (TCGA),1.7346714583333334
TOX,25,Breast Invasive Carcinoma (TCGA),1.5275680039138944
TOX,26,Kidney Renal Papillary Cell Carcinoma (TCGA),1.4692251773049645
TOX,27,Skin Cuteneous Melanoma (TCGA),1.222180808080808
TOX,28,Liver Hepatocellular Carcinoma (validation),1.1721242424242424
TOX,29,Thyroid Carcinoma (TCGA),1.1049771717171717
TOX,30,Liver Hepatocellular Carcinoma (TCGA),0.9438842541436464
TOX,31,Kidney Chromophobe (TCGA),0.44764375
ENTPD1,1,Thyroid Carcinoma (TCGA),71.2018808080808
ENTPD1,2,Pancreatic Adenocarcinoma (validation),29.0532775
ENTPD1,3,Lung Adenocarcinoma (validation),28.155477142857144
ENTPD1,4,Breast Invasive Carcinoma (validation),28.096896
ENTPD1,5,Glioblastoma Multiforme (validation),27.78673793103448
ENTPD1,6,Lung Squamous Cell Carcinoma (validation),27.24093823529412
ENTPD1,7,Kidney Renal Clear Cell Carcinoma (validation),25.827118999999996
ENTPD1,8,Rectum Adenocarcinoma (validation),25.118291304347824
ENTPD1,9,Colon Adenocarcinoma (validation),24.378632921810702
ENTPD1,10,Kidney Renal Clear Cell Carcinoma (TCGA),24.099937811900194
ENTPD1,11,Glioblastoma Multiforme (TCGA),19.14197304964539
ENTPD1,12,Pancreatic Adenocarcinoma (TCGA),15.744498295454546
ENTPD1,13,Breast Invasive Carcinoma (TCGA),14.91971457925636
ENTPD1,14,Stomach Adenocarcinoma (TCGA),14.463442485549132
ENTPD1,15,Lung Adenocarcinoma (TCGA),12.697650100603623
ENTPD1,16,Bladder Urothelial Carcinoma (TCGA),12.501475147928995
ENTPD1,17,Uterine Corpus Endometrial Carcinoma (TCGA),11.084139772727273
ENTPD1,18,Rectum Adenocarcinoma (TCGA),10.37559659090909
ENTPD1,19,Lung Squamous Cell Carcinoma (TCGA),10.352518200408998
ENTPD1,20,Colon Adenocarcinoma (TCGA),10.032438188976379
ENTPD1,21,Testicular Germ Cell Tumor (TCGA),9.717431578947368
ENTPD1,22,Skin Cuteneous Melanoma (TCGA),9.59188787878788
ENTPD1,23,Head and Neck Squamous Cell Carcinoma (TCGA),9.469180691056911
ENTPD1,24,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),8.710416607773851
ENTPD1,25,Kidney Renal Papillary Cell Carcinoma (TCGA),8.137925177304965
ENTPD1,26,Prostate Adenocarcinoma (TCGA),6.893844791666667
ENTPD1,27,Kidney Chromophobe (TCGA),6.2779140625
ENTPD1,28,Liver Hepatocellular Carcinoma (validation),6.139964069264069
ENTPD1,29,Ovary Serous Cystadenocarcinoma (validation),5.9303938271604935
ENTPD1,30,Ovary Serous Cystadenocarcinoma (TCGA),5.158610028653295
ENTPD1,31,Liver Hepatocellular Carcinoma (TCGA),3.7928740331491717
ICOS,1,Breast Invasive Carcinoma (validation),7.507645999999999
ICOS,2,Lung Squamous Cell Carcinoma (validation),4.065247058823529
ICOS,3,Lung Adenocarcinoma (validation),3.956827619047619
ICOS,4,Colon Adenocarcinoma (validation),3.303532304526749
ICOS,5,Rectum Adenocarcinoma (validation),3.1980811594202896
ICOS,6,Testicular Germ Cell Tumor (TCGA),2.048438345864662
